io,arm,variant,seed,fraction,epoch,train_loss,val_auprc,val_loss
bio,adapter_only,standard,0,5,13,0.2787461727857589,0.8952,0.5588
bio,adapter_only,standard,0,5,14,0.2762386798858642,0.9013,0.5647
bio,adapter_only,standard,0,5,15,0.273855447769165,0.9063,0.5702
bio,adapter_only,standard,4,5,1,0.3625758290290832,0.9237,0.6467
bio,adapter_only,standard,4,5,2,0.3304360061883926,0.8862,0.5982
bio,adapter_only,standard,4,5,3,0.316765621304512,0.8748,0.5723
bio,adapter_only,standard,4,5,4,0.3106722831726074,0.871,0.56
bio,adapter_only,standard,4,5,5,0.3110019862651825,0.8695,0.554
bio,adapter_only,standard,4,5,6,0.3086528480052948,0.8704,0.5516
bio,adapter_only,standard,4,5,7,0.3076412379741668,0.8722,0.5504
bio,adapter_only,standard,4,5,8,0.3043992221355438,0.8749,0.5504
bio,adapter_only,standard,4,5,9,0.3006276935338974,0.8783,0.5515
bio,adapter_only,standard,4,5,10,0.2964048385620117,0.8826,0.5537
bio,adapter_only,standard,4,5,11,0.2927155643701553,0.8877,0.5575
bio,adapter_only,standard,4,5,12,0.2890372425317764,0.8936,0.5624
bio,adapter_only,standard,4,5,13,0.2863341271877289,0.9001,0.5683
bio,connectome,standard,0,10,1,0.6449043303728104,0.8745,0.5694
